Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2025/9/3
Test time,20:43:34
E(lx),164.45
Candle E(fc),15.28
CCT(K),7193
Duv,0.15091
CIE x,0.2051
CIE y,0.7492
CIE u,0.0709
CIE v,0.3882
CIE u',0.0709
CIE v',0.5823
SDCM,100
Ra,-37
R1,-41
R2,-22
R3,-47
R4,-78
R5,-16
R6,-28
R7,-20
R8,-43
R9,-100
R10,-100
R11,-100
R12,-58
R13,-48
R14,24
R15,-39
Ee(mW/c©O),0.029
S/P,2.194
Dominant(nm),535.4
Purity(%),93.2
Half width(nm),26.8
Peak(nm),527.7
Center(nm),530.2
Centroid(nm),533.4
R ratio(%),0
G ratio(%),99.7
B ratio(%),0.2
CIE1931 X,65.926
CIE1931 Y,240.781
CIE1931 Z,14.658
TLCI-2012,2
Integral Time(ms),480
Peak Signal,55105
Dark Signal,2335
Compensate level,2934
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.012456
381,0.011257
382,0.003349
383,0.004068
384,0.001966
385,0.001872
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0.001797
403,0.001912
404,0.001898
405,0.000668
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0.000151
422,0.000149
423,0.000149
424,0.000059
425,0
426,0
427,0.000289
428,0.00038
429,0.002518
430,0.002348
431,0.00245
432,0.000998
433,0.000468
434,0.00035
435,0
436,0
437,0
438,0
439,0
440,0.000083
441,0.00174
442,0.001929
443,0.001914
444,0.000845
445,0
446,0
447,0
448,0.006642
449,0.014825
450,0.014734
451,0.011152
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0.003697
477,0.006119
478,0.007106
479,0.005392
480,0.001311
481,0.000048
482,0
483,0.003225
484,0.006263
485,0.01778
486,0.028198
487,0.035373
488,0.032276
489,0.03786
490,0.05553
491,0.076676
492,0.102537
493,0.121048
494,0.139883
495,0.16911
496,0.203167
497,0.247007
498,0.292627
499,0.344371
500,0.400379
501,0.479877
502,0.56838
503,0.666435
504,0.781021
505,0.909056
506,1.045724
507,1.217917
508,1.411121
509,1.632075
510,1.882912
511,2.166041
512,2.489317
513,2.844564
514,3.235245
515,3.657022
516,4.11796
517,4.615723
518,5.136764
519,5.676943
520,6.222818
521,6.759573
522,7.270887
523,7.740241
524,8.181499
525,8.559958
526,8.847716
527,9.021121
528,9.065251
529,9.033255
530,8.902478
531,8.709454
532,8.472135
533,8.206822
534,7.889348
535,7.548253
536,7.162527
537,6.757627
538,6.358931
539,5.971724
540,5.604315
541,5.262506
542,4.95205
543,4.662865
544,4.428718
545,4.175908
546,3.944639
547,3.73338
548,3.525791
549,3.330454
550,3.132547
551,2.938377
552,2.750321
553,2.565502
554,2.392154
555,2.243003
556,2.081076
557,1.930593
558,1.786401
559,1.640735
560,1.499382
561,1.365093
562,1.249882
563,1.148402
564,1.05984
565,0.979632
566,0.900867
567,0.815722
568,0.736052
569,0.675042
570,0.625467
571,0.581648
572,0.526837
573,0.482258
574,0.439782
575,0.406703
576,0.378765
577,0.344176
578,0.304109
579,0.270846
580,0.239593
581,0.207394
582,0.190009
583,0.176818
584,0.16485
585,0.148638
586,0.125645
587,0.112384
588,0.10925
589,0.105545
590,0.100719
591,0.083919
592,0.066208
593,0.056772
594,0.050344
595,0.046284
596,0.036484
597,0.024674
598,0.019277
599,0.021051
600,0.018896
601,0.020451
602,0.013196
603,0.008911
604,0.00202
605,0.000734
606,0.000758
607,0.00139
608,0.002084
609,0.001684
610,0.002257
611,0.003759
612,0.003959
613,0.005762
614,0.006376
615,0.005835
616,0.00519
617,0.002707
618,0.001201
619,0.001205
620,0.000195
621,0
622,0
623,0
624,0
625,0.000875
626,0.002184
627,0.002195
628,0.002203
629,0
630,0
631,0.000166
632,0.000335
633,0.000337
634,0.00034
635,0
636,0
637,0
638,0
639,0
640,0
641,0.011057
642,0.020753
643,0.020868
644,0.019035
645,0.000998
646,0
647,0
648,0
649,0
650,0.000053
651,0.000264
652,0.000265
653,0.000266
654,0.000067
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0.001482
663,0.006598
664,0.006804
665,0.00683
666,0.001724
667,0
668,0
669,0
670,0
671,0.000805
672,0.00081
673,0.000815
674,0.000328
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0.000018
686,0.001729
687,0.002561
688,0.002584
689,0.002031
690,0.000069
691,0
692,0
693,0
694,0
695,0
696,0
697,0.002412
698,0.002721
699,0.002739
700,0.001342
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0.000073
713,0.000185
714,0.000186
715,0.000188
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0.000114
726,0.00023
727,0.000231
728,0.000187
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0.000503
737,0.001015
738,0.001024
739,0.001032
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0.00059
748,0.000794
749,0.000806
750,0.000613
751,0.000654
752,0.009469
753,0.009583
754,0.009702
755,0.003386
756,0
757,0
758,0.000065
759,0.00033
760,0.000334
761,0.000339
762,0.000086
763,0
764,0.003314
765,0.006571
766,0.006652
767,0.005977
768,0
769,0
770,0.040365
771,0.048373
772,0.048181
773,0.027403
774,0
775,0
776,0
777,0
778,0
779,0
780,0
