Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2025/9/3
Test time,20:43:20
E(lx),275.28
Candle E(fc),25.57
CCT(K),7201
Duv,0.1518
CIE x,0.2025
CIE y,0.7509
CIE u,0.0698
CIE v,0.3882
CIE u',0.0698
CIE v',0.5823
SDCM,100
Ra,-37.4
R1,-41
R2,-23
R3,-47
R4,-79
R5,-16
R6,-29
R7,-21
R8,-43
R9,-100
R10,-100
R11,-100
R12,-59
R13,-48
R14,24
R15,-39
Ee(mW/c©O),0.048
S/P,2.218
Dominant(nm),535
Purity(%),93.2
Half width(nm),26.4
Peak(nm),527.7
Center(nm),529.7
Centroid(nm),532.9
R ratio(%),0.1
G ratio(%),99.7
B ratio(%),0.3
CIE1931 X,108.709
CIE1931 Y,403.049
CIE1931 Z,24.972
TLCI-2012,2
Integral Time(ms),190
Peak Signal,36490
Dark Signal,852
Compensate level,2934
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.005106
381,0.0038
382,0.000471
383,0.00036
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0.000227
403,0.000221
404,0.000219
405,0.000055
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0.001253
430,0.001253
431,0.001253
432,0.000314
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0.000446
442,0.00051
443,0.000506
444,0.000256
445,0
446,0
447,0
448,0
449,0.001478
450,0.001469
451,0.001467
452,0.000369
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0.000923
476,0.006197
477,0.009762
478,0.013014
479,0.011866
480,0.007285
481,0.005943
482,0.010809
483,0.01947
484,0.028561
485,0.045672
486,0.062876
487,0.078025
488,0.08193
489,0.096835
490,0.126989
491,0.159282
492,0.195696
493,0.226425
494,0.262308
495,0.30848
496,0.361718
497,0.426242
498,0.499557
499,0.586049
500,0.682314
501,0.808478
502,0.954087
503,1.119087
504,1.315377
505,1.534874
506,1.762991
507,2.051098
508,2.385315
509,2.771503
510,3.215022
511,3.710221
512,4.265837
513,4.885375
514,5.568974
515,6.310245
516,7.119069
517,7.985042
518,8.89778
519,9.827479
520,10.759212
521,11.673611
522,12.546726
523,13.342946
524,14.050795
525,14.638888
526,15.080798
527,15.349074
528,15.430197
529,15.392024
530,15.202529
531,14.901083
532,14.480174
533,13.937366
534,13.304869
535,12.617458
536,11.903481
537,11.190176
538,10.507686
539,9.858047
540,9.242613
541,8.658157
542,8.131931
543,7.64823
544,7.263316
545,6.854804
546,6.469762
547,6.106274
548,5.759871
549,5.430832
550,5.111266
551,4.792137
552,4.478473
553,4.165668
554,3.866762
555,3.612302
556,3.338022
557,3.08014
558,2.832527
559,2.586944
560,2.355302
561,2.135197
562,1.943386
563,1.77404
564,1.623631
565,1.495163
566,1.379254
567,1.254706
568,1.140348
569,1.045466
570,0.965132
571,0.89599
572,0.815954
573,0.743456
574,0.675087
575,0.623501
576,0.581514
577,0.535199
578,0.481848
579,0.430534
580,0.387539
581,0.347001
582,0.32002
583,0.298971
584,0.275618
585,0.250798
586,0.219754
587,0.200163
588,0.192206
589,0.183594
590,0.174641
591,0.152019
592,0.127725
593,0.117957
594,0.110591
595,0.103472
596,0.088815
597,0.069826
598,0.06053
599,0.057764
600,0.05256
601,0.051251
602,0.041174
603,0.031715
604,0.017611
605,0.01324
606,0.013914
607,0.012757
608,0.012783
609,0.006045
610,0.00733
611,0.010109
612,0.01269
613,0.021066
614,0.020456
615,0.018125
616,0.011736
617,0.004074
618,0.00145
619,0.001455
620,0.000159
621,0.0001
622,0.0001
623,0.000101
624,0.000025
625,0.001017
626,0.002792
627,0.002805
628,0.002988
629,0.000779
630,0.001099
631,0.001767
632,0.001637
633,0.001375
634,0.000785
635,0.000014
636,0
637,0
638,0
639,0
640,0
641,0.013692
642,0.026742
643,0.026918
644,0.024829
645,0.001555
646,0
647,0
648,0
649,0
650,0.000257
651,0.0009
652,0.000903
653,0.000908
654,0.000129
655,0.000382
656,0.000959
657,0.000962
658,0.000966
659,0
660,0
661,0
662,0.001299
663,0.004024
664,0.004038
665,0.004054
666,0.000573
667,0
668,0
669,0
670,0
671,0.000635
672,0.000639
673,0.000643
674,0.000259
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0.000537
687,0.000659
688,0.000665
689,0.000431
690,0.000019
691,0
692,0
693,0
694,0
695,0
696,0
697,0.000397
698,0.000516
699,0.000519
700,0.000304
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0.000096
726,0.000193
727,0.000194
728,0.000156
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0.000247
737,0.000498
738,0.000502
739,0.000506
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0.000125
752,0.004562
753,0.004617
754,0.004675
755,0.001791
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0.000158
765,0.000401
766,0.000406
767,0.000411
768,0
769,0
770,0.031203
771,0.03675
772,0.036604
773,0.020285
774,0
775,0
776,0
777,0
778,0
779,0
780,0
