label,row,col,mean_R_u8,mean_G_u8,mean_B_u8,std_R_u8,std_G_u8,std_B_u8,disp_R_lin,disp_G_lin,disp_B_lin,rel_R_lin,rel_G_lin,rel_B_lin,code_R,code_G,code_B
B_ref,0,0,24.41291328125,38.561768359375,137.258434375,30.80706248129785,36.62778472107937,37.29289120396598,0.0,0.0,1.0,0.0,0.0,0.5972323259204481,0,0,218
G_ref,0,1,27.799885546875,139.76049921875,27.85786796875,25.903706070605484,37.536707621524855,25.740385311440598,3.1932477804155424e-18,0.9999999999999998,0.0,5.229585581073752e-18,0.9008871377247533,0.0,0,247,0
R_ref,0,2,207.726091015625,15.11622734375,11.76481796875,11.901948174669863,10.011518707497716,9.032971481624697,1.0,0.0,1.0436699335544926e-18,1.637701155903792,0.0,6.233134219099891e-19,255,0,0
5,0,3,28.861533203125,142.81605859375,31.076604296875,25.997636986895344,35.87329334917842,27.088749368128425,0.00015847271913332946,1.0478359326269766,0.00672142258196252,0.0002595309553038706,0.9439819141494646,0.004014250842119699,20,251,47
4,1,0,36.277405859375,80.677937890625,120.9441296875,40.69983461595947,46.14939956591731,41.399340182775745,0.012611910375642908,0.25516040496003717,0.7485561998278957,0.020654540200345416,0.22987072688513688,0.4470619603053858,78,163,199
3,1,1,156.161451171875,32.3495015625,25.566673046875,34.43112723934758,30.641255000990547,27.77571092158109,0.5285755014613085,0.04421904052821243,0.030466141589339725,0.8656487097256114,0.03983636485439617,0.01819536460322306,244,95,75
2,1,2,33.968291796875,30.07298046875,30.35010546875,28.194375624502616,28.113257125335224,28.181228216916764,0.023813636351060704,0.04562501251906002,0.050245545790696226,0.03899961977840467,0.041102986936952024,0.030008264179719885,94,96,87
1,1,3,155.311856640625,131.199009765625,40.74045625,53.75983982347916,54.61951695340478,40.03928374112525,0.5072231352214365,0.8591006359601504,0.040622232947144975,0.8306799148532918,0.7739527129476553,0.024260910667105652,241,236,82
